Method,Seed,Test_Index,True_Linker,Generated_Linker,MACCS_Similarity,MCS_Similarity,Validity,Novelty,Property_Error,Threshold_Match_0.50,Threshold_Match_0.60,Threshold_Match_0.70,Threshold_Match_0.85,Threshold_Match_0.90
NO-RAG,42,0,O=C([O-])c1cc[n+]([O-])cc1,O=C([O-])c1cccc(C(=O)[O-])[n+]1[O-],0.794,0.538,YES,NO,0.5083,YES,YES,YES,NO,NO
NO-RAG,42,1,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,1.0,1.0,YES,YES,1.3412,YES,YES,YES,YES,YES
NO-RAG,42,2,O=C([O-])C1C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-],O=C([O-])C1C(C(=O)[O-])C(C(=O)[O-])C1C(=O)[O-],0.846,0.15,YES,NO,2.721,YES,YES,YES,NO,NO
NO-RAG,42,3,O=C(O)CC(O)(CC(=O)O)C(=O)[O-],O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0.857,1.0,YES,NO,1.7925,YES,YES,YES,YES,YES
NO-RAG,42,4,O=C([O-])c1cc(S(=O)(=O)c2ccc(C(=O)[O-])c(C(=O)O)c2)ccc1C(=O)O,O=C([O-])c1cc(C(=O)[O-])cc(S(O)(O)O)c1,0.7,0.365,YES,YES,1.0673,YES,YES,YES,NO,NO
NO-RAG,42,5,c1nc[nH]n1,c1nnc[nH]1,0.944,1.0,YES,NO,2.3609,YES,YES,YES,YES,YES
NO-RAG,42,6,C1CCSC1,C1CSCCS1,0.625,0.0,YES,NO,0.8143,YES,YES,NO,NO,NO
NO-RAG,42,7,O=C([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])c(C(=O)[O-])cc([N+](=O)[O-])c2c1[N+](=O)[O-],O=C([O-])c1ccc([N+](=O)[O-])cc1,0.763,0.317,YES,YES,1.8311,YES,YES,YES,NO,NO
NO-RAG,42,8,O=C1C(=O)C(Cl)C(=O)C(=O)C1Cl,O=C1C(=O)C(Cl)C(=O)C(=O)C1ClINVALID,0.0,0.0,NO,NO,,NO,NO,NO,NO,NO
NO-RAG,42,9,O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,O=C([O-])c1cc(N2[CH]N=CN2)cc(N2[CH]N=CN2)c1,1.0,1.0,YES,YES,1.7662,YES,YES,YES,YES,YES
