Method,Threshold,Seed_42,Seed_123,Seed_999,Mean,Std
NO-RAG,0.5,53,57,55,55.0,2.0
NO-RAG,0.6,44,53,52,49.67,4.93
NO-RAG,0.7,33,41,42,38.67,4.93
NO-RAG,0.85,18,23,32,24.33,7.09
NO-RAG,0.9,13,16,20,16.33,3.51
Vanilla-RAG,0.5,151,154,155,153.33,2.08
Vanilla-RAG,0.6,131,131,131,131.0,0.0
Vanilla-RAG,0.7,110,111,111,110.67,0.58
Vanilla-RAG,0.85,73,74,74,73.67,0.58
Vanilla-RAG,0.9,56,50,56,54.0,3.46
Self-RAG,0.5,256,260,258,258.0,2.0
Self-RAG,0.6,216,234,219,223.0,9.64
Self-RAG,0.7,179,192,192,187.67,7.51
Self-RAG,0.85,114,139,120,124.33,13.05
Self-RAG,0.9,86,104,86,92.0,10.39
GraphRAG,0.5,200,204,202,202.0,2.0
GraphRAG,0.6,173,173,180,175.33,4.04
GraphRAG,0.7,143,145,151,146.33,4.16
GraphRAG,0.85,105,92,100,99.0,6.56
GraphRAG,0.9,70,64,78,70.67,7.02
HyDE-RAG,0.5,198,203,199,200.0,2.65
HyDE-RAG,0.6,179,175,176,176.67,2.08
HyDE-RAG,0.7,149,146,152,149.0,3.0
HyDE-RAG,0.85,107,92,104,101.0,7.94
HyDE-RAG,0.9,83,72,74,76.33,5.86
